code,short_description,long_description,is_billable,organ_system,criteria_type
C91.61,"1 Prolymphocytic leukemia of T-cell type, in remission","Prolymphocytic leukemia of T-cell type, in remission",False,general,contraindication
C91.62,"1 Prolymphocytic leukemia of T-cell type, in relapse","Prolymphocytic leukemia of T-cell type, in relapse",False,general,contraindication
C91.9,"0 Lymphoid leukemia, unspecified","Lymphoid leukemia, unspecified",False,general,contraindication
C91.90,"1 Lymphoid leukemia, unspecified not having achieved remissi","on Lymphoid leukemia, unspecified not having achieved remission",False,general,contraindication
C91.91,"1 Lymphoid leukemia, unspecified, in remission","Lymphoid leukemia, unspecified, in remission",False,general,contraindication
C91.92,"1 Lymphoid leukemia, unspecified, in relapse","Lymphoid leukemia, unspecified, in relapse",False,general,contraindication
C91.A,0 Mature B-cell leukemia Burkitt-type,Mature B-cell leukemia Burkitt-type,False,general,contraindication
C91.A0,1 Mature B-cell leukemia Burkitt-type not achieve remission,Mature B-cell leukemia Burkitt-type not having achieved remission,False,general,contraindication
C91.A1,"1 Mature B-cell leukemia Burkitt-type, in remission","Mature B-cell leukemia Burkitt-type, in remission",False,general,contraindication
C91.A2,"1 Mature B-cell leukemia Burkitt-type, in relapse","Mature B-cell leukemia Burkitt-type, in relapse",False,general,contraindication
C91.Z,0 Other lymphoid leukemia,Other lymphoid leukemia,False,general,contraindication
C91.Z0,1 Other lymphoid leukemia not having achieved remission,Other lymphoid leukemia not having achieved remission,False,general,contraindication
C91.Z1,"1 Other lymphoid leukemia, in remission","Other lymphoid leukemia, in remission",False,general,contraindication
C91.Z2,"1 Other lymphoid leukemia, in relapse","Other lymphoid leukemia, in relapse",False,general,contraindication
C92,0 Myeloid leukemia,Myeloid leukemia,False,general,contraindication
C92.0,0 Acute myeloblastic leukemia,Acute myeloblastic leukemia,False,general,contraindication
C92.00,"1 Acute myeloblastic leukemia, not having achieved remission","Acute myeloblastic leukemia, not having achieved remission",False,general,contraindication
C92.01,"1 Acute myeloblastic leukemia, in remission","Acute myeloblastic leukemia, in remission",False,general,contraindication
C92.02,"1 Acute myeloblastic leukemia, in relapse","Acute myeloblastic leukemia, in relapse",False,general,contraindication
C92.1,"0 Chronic myeloid leukemia, BCR/ABL-positive","Chronic myeloid leukemia, BCR/ABL-positive",False,general,contraindication
C92.10,"1 Chronic myeloid leuk, BCR/ABL-positive, not achieve remis","Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",False,general,contraindication
C92.11,"1 Chronic myeloid leukemia, BCR/ABL-positive, in remission","Chronic myeloid leukemia, BCR/ABL-positive, in remission",False,general,contraindication
